City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Pressure,Country,Date
0,Yellowknife,62.456,-114.3525,-12.48,77,75,5.75,1032,CA,1734400602
1,Ribeira Grande,38.5167,-28.7,63.77,76,8,15.01,1012,PT,1734400645
2,Tobelo,1.7284,128.0095,85.55,70,95,2.98,1008,ID,1734400448
3,Turuntayevo,52.2,107.6167,11.21,98,100,1.57,1046,RU,1734400648
4,Anadyr,64.75,177.4833,19.9,73,100,17.9,1012,RU,1734400649
5,Grand Falls-Windsor,48.9332,-55.6649,30.51,74,100,1.01,1026,CA,1734400650
6,Coquimbo,-29.9533,-71.3436,58.73,81,0,4.61,1014,CL,1734400532
7,Adamstown,-25.066,-130.1015,72.07,70,8,14.88,1013,PN,1734400374
8,Punta Arenas,-53.15,-70.9167,53.71,76,0,8.05,1008,CL,1734400653
9,Chekmagush,55.1319,54.6556,24.64,90,90,13.47,999,RU,1734400654
10,Blackmans Bay,-43.0167,147.3167,68.74,47,4,4.0,999,AU,1734400655
11,Lihue,21.9789,-159.3672,78.39,73,75,5.75,1014,US,1734400656
12,Vernon,50.2581,-119.2691,33.75,89,100,4.61,1019,CA,1734400521
13,Egilsstadir,65.2653,-14.3948,22.91,86,0,3.44,1003,IS,1734400659
14,Ixtapa,20.7,-105.2,69.94,90,100,1.5,1014,MX,1734400660
15,Constanța,44.1833,28.65,41.7,77,18,17.54,1025,RO,1734400446
16,Port-aux-Français,-49.35,70.2167,42.69,80,1,31.7,989,TF,1734400663
17,Kenora,49.8167,-94.4337,27.57,93,100,15.01,1010,CA,1734400664
18,Udachny,66.4167,112.4,14.16,92,100,17.81,1019,RU,1734400665
19,Mossamedes,-15.1961,12.1522,70.39,79,74,3.74,1010,AO,1734400666
20,Rawson,-43.3002,-65.1023,73.69,38,0,14.97,1013,AR,1734400667
21,Bredasdorp,-34.5322,20.0403,56.86,69,1,6.49,1016,ZA,1734400669
22,Hotan,37.0997,79.9269,20.61,63,33,6.13,1038,CN,1734400670
23,Susuman,62.7833,148.1667,-19.25,100,92,2.19,1025,RU,1734400671
24,Dumai,1.6833,101.45,79.5,87,100,0.69,1012,ID,1734400672
25,Berdigestyakh,62.0989,126.6992,-29.92,100,99,2.35,1031,RU,1734400673
26,Klyuchi,52.2667,79.1667,3.06,86,71,9.44,1043,RU,1734400674
27,Chicoana,-25.1009,-65.5331,68.05,66,95,4.9,1017,AR,1734400675
28,Madīnat ash Shamāl,26.1293,51.2009,64.47,64,15,11.95,1021,QA,1734400676
29,Puerto Natales,-51.7236,-72.4875,53.73,86,96,3.38,1009,CL,1734400677
30,Korkuteli,37.065,30.1957,35.98,83,4,4.99,1028,TR,1734400678
31,Poyarkovo,49.6,128.6833,-17.12,96,93,4.09,1029,RU,1734400680
32,Port Elizabeth,-33.918,25.5701,64.69,74,0,14.97,1015,ZA,1734400681
33,Iskateley,67.6803,53.1512,-10.55,93,16,7.07,999,RU,1734400682
34,Waitangi,-43.9535,-176.5597,58.82,87,100,8.99,1010,NZ,1734400684
35,Grytviken,-54.2811,-36.5092,34.9,87,23,10.63,987,GS,1734400685
36,Dryden,49.7833,-92.7503,32.29,93,100,11.5,1005,CA,1734400686
37,Springbok,-29.6643,17.8865,46.94,68,0,3.76,1015,ZA,1734400687
38,West Island,-12.1568,96.8225,80.58,89,75,9.22,1009,CC,1734400688
39,Fortuna,40.5982,-124.1573,52.93,95,100,9.22,1019,US,1734400690
40,Bardai,11.65,7.2333,57.31,24,50,9.78,1015,NG,1734400691
41,Princeton,25.5384,-80.4089,74.01,96,100,14.97,1020,US,1734400692
42,Nemuro,43.3236,145.575,27.27,48,1,17.92,1014,JP,1734400693
43,Magadan,59.5667,150.8,9.55,74,100,12.55,1005,RU,1734400694
44,Turpan,42.9333,89.1667,21.47,58,0,1.52,1041,CN,1734400695
45,Kurchatov,51.6601,35.6521,35.15,78,94,22.93,1001,RU,1734400696
46,Albany,42.6001,-73.9662,39.4,96,100,4.0,1023,US,1734400620
47,Port Mathurin,-19.6833,63.4167,77.16,68,62,21.72,1018,MU,1734400698
48,Isaka,-3.9,32.9333,66.07,91,100,5.17,1011,TZ,1734400699
49,Geraldton,-28.7667,114.6,93.61,20,0,12.66,1010,AU,1734400701
50,Humaitá,-7.5061,-63.0208,71.31,99,100,2.19,1013,BR,1734400702
51,Anshun,26.25,105.9333,42.12,83,100,4.59,1023,CN,1734400703
52,Taltal,-25.4,-70.4833,65.64,78,9,2.01,1014,CL,1734400704
